uuid,count,mean,std,min,p25,median,p75,max
351901930024744,107,2.824129785046729,7.2379913416687405,0.094363,0.18399749999999998,1.018891,2.4383885000000003,51.226476
351901930025246,159,1.5464181886792454,3.8676414744816903,0.101221,0.2007005,0.282823,1.8403915,35.44797
351901930025444,131,1.140920030534351,1.6683984465444512,0.107781,0.303645,0.730989,0.9786065,12.206548
351901930025840,99,1.0585903838383839,1.649978500569781,0.129346,0.5421214999999999,0.78157,0.987815,14.731954
351901930025949,288,1.3717059166666667,2.611392070713982,0.103128,0.24943025000000002,0.7677350000000001,1.31895775,29.108349
351901930026020,117,2.072512299145299,4.525557703405693,0.108517,0.209133,0.63214,1.878639,33.187065
351901930026087,133,1.3273262631578946,2.1188946692390327,0.133796,0.536274,0.778402,1.082726,17.535996
351901930026103,419,0.8826677947494034,0.9917544449619764,0.139421,0.4690485,0.71071,0.9756445,13.076244
351901930027416,667,0.8662350914542729,0.7903725828089795,0.135246,0.5036894999999999,0.727944,0.963199,10.112039
351901930027507,93,0.9235129784946237,0.84862566963791,0.114835,0.532128,0.775086,0.939545,6.284146
351901930027614,399,0.7971166015037594,0.6105625812030911,0.126146,0.5142125,0.735029,0.9518865,6.417225
351901930063577,171,1.3148040818713451,3.6817778171373297,0.11609,0.2527395,0.685019,1.034305,39.804141
351901930066026,101,0.8939811287128714,1.6168214119499384,0.158742,0.459963,0.641981,0.85655,15.656543
359404230081979,315,0.9423814285714285,0.9714063844044809,0.097687,0.21615,0.717926,1.0764185,8.702165
359404230081987,88,0.7762322386363636,0.7150595663644463,0.160103,0.35699525,0.6279245,0.834395,4.752471
359404230082019,138,1.9598976014492753,4.315251521264591,0.141141,0.283233,0.7754215,1.4001025,29.493866
359404230082423,815,0.9177701079754601,1.8879908573507853,0.120841,0.2816205,0.679471,0.97617,44.291426
359404230124332,107,1.3535313551401869,2.8660129558972196,0.156791,0.35628099999999996,0.663221,1.0075215000000002,20.403865
359746167128136,190,1.5733418263157897,1.957806488881137,0.095342,0.29319625,0.8824205,2.422177,14.675826
